m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-10 11h,주암호,,,,,,,,,
2018-01-10 12h,주암호,,,,,,,,,
2018-01-10 13h,주암호,,,,,,,,,
2018-01-10 14h,주암호,,,,,,,,,
2018-01-10 15h,주암호,,,,,,,,,
2018-01-10 16h,주암호,,,,,,,,,
2018-01-10 17h,주암호,,,,,,,,,
2018-01-10 18h,주암호,,,,,,,,,
2018-01-10 19h,주암호,,,,,,,,,
2018-01-10 20h,주암호,,,,,,,,,
2018-01-10 21h,주암호,,,,,,,,,
2018-01-10 22h,주암호,,,,,,,,,
2018-01-10 23h,주암호,,,,,,,,,
2018-01-11 00h,주암호,,,,,,,,,
2018-01-11 01h,주암호,,,,,,,,,
2018-01-11 02h,주암호,,,,,,,,,
2018-01-11 03h,주암호,,,,,,,,,
2018-01-11 04h,주암호,,,,,,,,,
2018-01-11 05h,주암호,,,,,,,,,
2018-01-11 06h,주암호,,,,,,,,,
2018-01-11 07h,주암호,,,,,,,,,
2018-01-11 08h,주암호,,,,,,,,,
2018-01-11 09h,주암호,,,,,,,,,
2018-01-11 10h,주암호,,,,,,,,,
2018-01-11 11h,주암호,,,,,,,,,
2018-01-11 12h,주암호,,,,,,,,,
2018-01-11 13h,주암호,,,,,,,,,
2018-01-11 14h,주암호,,,,,,,,,
2018-01-11 15h,주암호,,,,,,,,,
2018-01-11 16h,주암호,,,,,,,,,
2018-01-11 17h,주암호,,,,,,,,,
2018-01-11 18h,주암호,,,,,,,,,
2018-01-11 19h,주암호,,,,,,,,,
2018-01-11 20h,주암호,,,,,,,,,
2018-01-11 21h,주암호,,,,,,,,,
2018-01-11 22h,주암호,,,,,,,,,
2018-01-11 23h,주암호,,,,,,,,,
2018-01-12 00h,주암호,,,,,,,,,
2018-01-12 01h,주암호,,,,,,,,,
2018-01-12 02h,주암호,,,,,,,,,
2018-01-12 03h,주암호,,,,,,,,,
2018-01-12 04h,주암호,,,,,,,,,
2018-01-12 05h,주암호,,,,,,,,,
2018-01-12 06h,주암호,,,,,,,,,
2018-01-12 07h,주암호,,,,,,,,,
2018-01-12 08h,주암호,,,,,,,,,
2018-01-12 09h,주암호,,,,,,,,,
2018-01-12 10h,주암호,,,,,,,,,
2018-01-12 11h,주암호,,,,,,,,,
2018-01-12 12h,주암호,,,,,,,,,
2018-01-12 13h,주암호,,,,,,,,,
2018-01-12 14h,주암호,,,,,,,,,
2018-01-12 15h,주암호,,,,,,,,,
2018-01-12 16h,주암호,,,,,,,,,
2018-01-12 17h,주암호,,,,,,,,,
2018-01-12 18h,주암호,,,,,,,,,
2018-01-12 19h,주암호,,,,,,,,,
2018-01-12 20h,주암호,,,,,,,,,
2018-01-12 21h,주암호,,,,,,,,,
2018-01-12 22h,주암호,,,,,,,,,
2018-01-12 23h,주암호,,,,,,,,,
2018-01-13 00h,주암호,,,,,,,,,
2018-01-13 01h,주암호,,,,,,,,,
2018-01-13 02h,주암호,,,,,,,,,
2018-01-13 03h,주암호,,,,,,,,,
2018-01-13 04h,주암호,,,,,,,,,
2018-01-13 05h,주암호,,,,,,,,,
2018-01-13 06h,주암호,,,,,,,,,
2018-01-13 07h,주암호,,,,,,,,,
2018-01-13 08h,주암호,,,,,,,,,
2018-01-13 09h,주암호,,,,,,,,,
2018-01-13 10h,주암호,,,,,,,,,
2018-01-13 11h,주암호,,,,,,,,,
2018-01-13 12h,주암호,,,,,,,,,
2018-01-13 13h,주암호,,,,,,,,,
2018-01-13 14h,주암호,,,,,,,,,
2018-01-13 15h,주암호,,,,,,,,,
2018-01-13 16h,주암호,,,,,,,,,
2018-01-13 17h,주암호,,,,,,,,,
2018-01-13 18h,주암호,,,,,,,,,
2018-01-13 19h,주암호,,,,,,,,,
2018-01-13 20h,주암호,,,,,,,,,
2018-01-13 21h,주암호,,,,,,,,,
2018-01-13 22h,주암호,,,,,,,,,
2018-01-13 23h,주암호,,,,,,,,,
2018-01-14 00h,주암호,,,,,,,,,
2018-01-14 01h,주암호,,,,,,,,,
2018-01-14 02h,주암호,,,,,,,,,
2018-01-14 03h,주암호,,,,,,,,,
2018-01-14 04h,주암호,,,,,,,,,
2018-01-14 05h,주암호,,,,,,,,,
2018-01-14 06h,주암호,,,,,,,,,
2018-01-14 07h,주암호,,,,,,,,,
2018-01-14 08h,주암호,,,,,,,,,
2018-01-14 09h,주암호,,,,,,,,,
2018-01-14 10h,주암호,,,,,,,,,
2018-01-14 11h,주암호,,,,,,,,,
2018-01-14 12h,주암호,,,,,,,,,
2018-01-14 13h,주암호,,,,,,,,,
2018-01-14 14h,주암호,,,,,,,,,
2018-01-14 15h,주암호,,,,,,,,,
2018-01-14 16h,주암호,,,,,,,,,
2018-01-14 17h,주암호,,,,,,,,,
2018-01-14 18h,주암호,,,,,,,,,
2018-01-14 19h,주암호,,,,,,,,,
2018-01-14 20h,주암호,,,,,,,,,
2018-01-14 21h,주암호,,,,,,,,,
2018-01-14 22h,주암호,,,,,,,,,
2018-01-14 23h,주암호,,,,,,,,,
2018-01-15 00h,주암호,,,,,,,,,
2018-01-15 01h,주암호,,,,,,,,,
2018-01-15 02h,주암호,,,,,,,,,
2018-01-15 03h,주암호,,,,,,,,,
2018-01-15 04h,주암호,,,,,,,,,
2018-01-15 05h,주암호,,,,,,,,,
2018-01-15 06h,주암호,,,,,,,,,
2018-01-15 07h,주암호,,,,,,,,,
2018-01-15 08h,주암호,,,,,,,,,
2018-01-15 09h,주암호,,,,,,,,,
2018-01-15 10h,주암호,,,,,,,,,
2018-01-15 11h,주암호,,,,,,,,,
2018-01-15 12h,주암호,,,,,,,,,
2018-01-15 13h,주암호,,,,,,,,,
2018-01-15 14h,주암호,,,,,,,,,
2018-01-15 15h,주암호,,,,,,,,,
2018-01-15 16h,주암호,,,,,,,,,
2018-01-15 17h,주암호,,,,,,,,,
2018-01-15 18h,주암호,,,,,,,,,
2018-01-15 19h,주암호,,,,,,,,,
2018-01-15 20h,주암호,,,,,,,,,
2018-01-15 21h,주암호,,,,,,,,,
2018-01-15 22h,주암호,,,,,,,,,
2018-01-15 23h,주암호,,,,,,,,,
2018-01-16 00h,주암호,,,,,,,,,
2018-01-16 01h,주암호,,,,,,,,,
2018-01-16 02h,주암호,,,,,,,,,
2018-01-16 03h,주암호,,,,,,,,,
2018-01-16 04h,주암호,,,,,,,,,
2018-01-16 05h,주암호,,,,,,,,,
2018-01-16 06h,주암호,,,,,,,,,
2018-01-16 07h,주암호,,,,,,,,,
2018-01-16 08h,주암호,,,,,,,,,
2018-01-16 09h,주암호,,,,,,,,,
2018-01-16 10h,주암호,,,,,,,,,
2018-01-16 11h,주암호,,,,,,,,,
2018-01-16 12h,주암호,,,,,,,,,
2018-01-16 13h,주암호,,,,,,,,,
2018-01-16 14h,주암호,,,,,,,,,
2018-01-16 15h,주암호,,,,,,,,,
2018-01-16 16h,주암호,,,,,,,,,
2018-01-16 17h,주암호,,,,,,,,,
2018-01-16 18h,주암호,,,,,,,,,
2018-01-16 19h,주암호,,,,,,,,,
2018-01-16 20h,주암호,,,,,,,,,
2018-01-16 21h,주암호,,,,,,,,,
2018-01-16 22h,주암호,,,,,,,,,
2018-01-16 23h,주암호,,,,,,,,,
2018-01-17 00h,주암호,,,,,,,,,
2018-01-17 01h,주암호,,,,,,,,,
2018-01-17 02h,주암호,,,,,,,,,
2018-01-17 03h,주암호,,,,,,,,,
2018-01-17 04h,주암호,,,,,,,,,
2018-01-17 05h,주암호,,,,,,,,,
2018-01-17 06h,주암호,,,,,,,,,
2018-01-17 07h,주암호,,,,,,,,,
2018-01-17 08h,주암호,,,,,,,,,
2018-01-17 09h,주암호,,,,,,,,,
2018-01-17 10h,주암호,,,,,,,,,
2018-01-17 11h,주암호,,,,,,,,,
2018-01-17 12h,주암호,,,,,,,,,
2018-01-17 13h,주암호,,,,,,,,,
2018-01-17 14h,주암호,,,,,,,,,
2018-01-17 15h,주암호,,,,,,,,,
2018-01-17 16h,주암호,,,,,,,,,
2018-01-17 17h,주암호,,,,,,,,,
2018-01-17 18h,주암호,,,,,,,,,
2018-01-17 19h,주암호,,,,,,,,,
2018-01-17 20h,주암호,,,,,,,,,
2018-01-17 21h,주암호,,,,,,,,,
2018-01-17 22h,주암호,,,,,,,,,
2018-01-17 23h,주암호,,,,,,,,,
2018-01-18 00h,주암호,,,,,,,,,
2018-01-18 01h,주암호,,,,,,,,,
2018-01-18 02h,주암호,,,,,,,,,
2018-01-18 03h,주암호,,,,,,,,,
2018-01-18 04h,주암호,,,,,,,,,
2018-01-18 05h,주암호,,,,,,,,,
2018-01-18 06h,주암호,,,,,,,,,
2018-01-18 07h,주암호,,,,,,,,,
2018-01-18 08h,주암호,,,,,,,,,
2018-01-18 09h,주암호,,,,,,,,,
2018-01-18 10h,주암호,,,,,,,,,
2018-01-18 11h,주암호,,,,,,,,,
